 
# QPROP Version 1.22
# 
# T28 Trojan Prop                                                                 
# 
# CobraCM2217-26 Brushless DC Motor                                               
#   0.17900      Rmotor (Ohms)                  
#   0.36000      Io     (Amps)                  
#    6.9500      Kv     (rpm/Volt)              
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
   38.000  0.1600E+05  0.000   26.73      0.9330       1563.    2302.344    1.0390   0.6535   0.6499   0.14882  0.9174E-02  0.2101E-02   7.1906   0.4247   2392.       1016.       0.1680  0.1228E-01
   40.000  0.1600E+05  0.000   22.01      0.8290       1389.    2302.331    0.9633   0.6262   0.6339   0.15665  0.7553E-02  0.1867E-02   5.7439   0.3970   2218.       880.4       0.1388  0.1235E-01
   42.000  0.1600E+05  0.000   17.19      0.7172       1202.    2302.316    0.8820   0.5918   0.6007   0.16448  0.5898E-02  0.1615E-02   4.3528   0.3555   2031.       721.9       0.1091  0.1245E-01
   44.000  0.1600E+05  0.000   12.27      0.5975       1001.    2302.301    0.7948   0.5470   0.5391   0.17231  0.4209E-02  0.1345E-02   3.0153   0.2949   1830.       539.7       0.0791  0.1258E-01

    2.000  0.1650E+05  0.000   100.3       1.973       3410.    2374.422    1.7962   0.7995   0.0588   0.00760  0.3236E-01  0.4178E-02  45.4137   0.0470   4265.       200.6       0.6070  0.1825E-01
    4.000  0.1650E+05  0.000   97.39       1.958       3382.    2374.420    1.7847   0.7982   0.1152   0.01519  0.3143E-01  0.4145E-02  42.8527   0.0919   4238.       389.6       0.5886  0.1772E-01
    6.000  0.1650E+05  0.000   94.41       1.939       3351.    2374.418    1.7715   0.7967   0.1690   0.02279  0.3046E-01  0.4106E-02  40.3508   0.1347   4206.       566.4       0.5698  0.1721E-01
    8.000  0.1650E+05  0.000   91.34       1.919       3315.    2374.415    1.7565   0.7949   0.2204   0.03038  0.2947E-01  0.4063E-02  37.9095   0.1752   4171.       730.7       0.5505  0.1672E-01
   10.000  0.1650E+05  0.000   88.18       1.896       3275.    2374.412    1.7396   0.7930   0.2692   0.03798  0.2845E-01  0.4014E-02  35.5304   0.2135   4131.       881.8       0.5306  0.1624E-01
   12.000  0.1650E+05  0.000   84.95       1.863       3218.    2374.408    1.7157   0.7901   0.3167   0.04557  0.2741E-01  0.3944E-02  33.2199   0.2502   4074.       1019.       0.5103  0.1514E-01
   14.000  0.1650E+05  0.000   81.54       1.832       3166.    2374.404    1.6934   0.7873   0.3606   0.05317  0.2631E-01  0.3879E-02  30.9506   0.2839   4021.       1142.       0.4890  0.1477E-01
   16.000  0.1650E+05  0.000   78.04       1.794       3099.    2374.399    1.6654   0.7837   0.4029   0.06076  0.2518E-01  0.3798E-02  28.7468   0.3158   3954.       1249.       0.4671  0.1396E-01
   18.000  0.1650E+05  0.000   74.38       1.749       3022.    2374.393    1.6328   0.7794   0.4431   0.06836  0.2400E-01  0.3703E-02  26.5907   0.3454   3877.       1339.       0.4443  0.1314E-01
   20.000  0.1650E+05  0.000   70.55       1.704       2945.    2374.387    1.6004   0.7750   0.4792   0.07595  0.2277E-01  0.3609E-02  24.4826   0.3714   3800.       1411.       0.4207  0.1295E-01
   22.000  0.1650E+05  0.000   66.63       1.655       2860.    2374.381    1.5647   0.7698   0.5125   0.08355  0.2150E-01  0.3505E-02  22.4389   0.3945   3715.       1466.       0.3966  0.1277E-01
   24.000  0.1650E+05  0.000   62.60       1.601       2767.    2374.374    1.5255   0.7639   0.5430   0.09114  0.2020E-01  0.3391E-02  20.4595   0.4148   3622.       1502.       0.3720  0.1263E-01
   26.000  0.1650E+05  0.000   58.47       1.542       2665.    2374.366    1.4825   0.7571   0.5704   0.09874  0.1887E-01  0.3266E-02  18.5443   0.4318   3520.       1520.       0.3468  0.1251E-01
   28.000  0.1650E+05  0.000   54.23       1.478       2554.    2374.358    1.4356   0.7492   0.5946   0.10633  0.1750E-01  0.3129E-02  16.6928   0.4455   3409.       1518.       0.3212  0.1242E-01
   30.000  0.1650E+05  0.000   49.89       1.408       2432.    2374.349    1.3846   0.7399   0.6153   0.11393  0.1610E-01  0.2981E-02  14.9043   0.4553   3288.       1497.       0.2951  0.1236E-01
   32.000  0.1650E+05  0.000   45.45       1.332       2301.    2374.339    1.3291   0.7291   0.6322   0.12152  0.1467E-01  0.2819E-02  13.1779   0.4609   3156.       1455.       0.2686  0.1232E-01
   34.000  0.1650E+05  0.000   40.91       1.249       2158.    2374.328    1.2691   0.7163   0.6445   0.12912  0.1320E-01  0.2645E-02  11.5125   0.4616   3013.       1391.       0.2415  0.1231E-01
   36.000  0.1650E+05  0.000   36.26       1.160       2004.    2374.316    1.2042   0.7010   0.6514   0.13671  0.1170E-01  0.2456E-02   9.9068   0.4566   2859.       1306.       0.2140  0.1233E-01
   38.000  0.1650E+05  0.000   31.52       1.064       1838.    2374.304    1.1342   0.6825   0.6516   0.14431  0.1017E-01  0.2252E-02   8.3594   0.4447   2693.       1198.       0.1861  0.1238E-01
   40.000  0.1650E+05  0.000   26.67      0.9602       1659.    2374.290    1.0589   0.6600   0.6429   0.15190  0.8605E-02  0.2033E-02   6.8687   0.4243   2514.       1067.       0.1577  0.1244E-01
   42.000  0.1650E+05  0.000   21.72      0.8492       1467.    2374.276    0.9780   0.6319   0.6216   0.15950  0.7007E-02  0.1798E-02   5.4330   0.3928   2322.       912.0       0.1290  0.1254E-01
   44.000  0.1650E+05  0.000   16.66      0.7303       1262.    2374.260    0.8915   0.5962   0.5810   0.16709  0.5377E-02  0.1546E-02   4.0504   0.3464   2117.       733.2       0.0998  0.1266E-01

    2.000  0.1700E+05  0.000   107.5       2.129       3790.    2446.385    1.9095   0.8114   0.0567   0.00737  0.3267E-01  0.4246E-02  47.0821   0.0460   4671.       215.0       0.6131  0.1854E-01
    4.000  0.1700E+05  0.000   104.5       2.112       3760.    2446.383    1.8973   0.8101   0.1111   0.01474  0.3176E-01  0.4213E-02  44.5136   0.0900   4642.       417.9       0.5951  0.1804E-01
    6.000  0.1700E+05  0.000   101.4       2.093       3727.    2446.380    1.8835   0.8088   0.1632   0.02212  0.3081E-01  0.4175E-02  42.0019   0.1320   4608.       608.2       0.5766  0.1755E-01
    8.000  0.1700E+05  0.000   98.18       2.072       3688.    2446.378    1.8679   0.8072   0.2130   0.02949  0.2985E-01  0.4133E-02  39.5486   0.1719   4570.       785.5       0.5577  0.1708E-01
   10.000  0.1700E+05  0.000   94.91       2.048       3646.    2446.374    1.8504   0.8053   0.2603   0.03686  0.2885E-01  0.4085E-02  37.1549   0.2097   4527.       949.1       0.5383  0.1663E-01
   12.000  0.1700E+05  0.000   91.58       2.014       3585.    2446.370    1.8258   0.8027   0.3065   0.04423  0.2784E-01  0.4017E-02  34.8319   0.2460   4467.       1099.       0.5185  0.1553E-01
   14.000  0.1700E+05  0.000   88.06       1.983       3530.    2446.366    1.8030   0.8002   0.3493   0.05160  0.2677E-01  0.3955E-02  32.5433   0.2795   4411.       1233.       0.4978  0.1518E-01
   16.000  0.1700E+05  0.000   84.46       1.944       3460.    2446.361    1.7745   0.7970   0.3906   0.05897  0.2567E-01  0.3877E-02  30.3220   0.3113   4341.       1351.       0.4765  0.1437E-01
   18.000  0.1700E+05  0.000   80.69       1.898       3379.    2446.355    1.7414   0.7932   0.4299   0.06635  0.2453E-01  0.3786E-02  28.1474   0.3410   4260.       1452.       0.4544  0.1356E-01
   20.000  0.1700E+05  0.000   76.74       1.853       3299.    2446.349    1.7086   0.7892   0.4653   0.07372  0.2333E-01  0.3696E-02  26.0132   0.3672   4180.       1535.       0.4314  0.1338E-01
   22.000  0.1700E+05  0.000   72.69       1.803       3210.    2446.343    1.6725   0.7847   0.4982   0.08109  0.2210E-01  0.3597E-02  23.9409   0.3909   4091.       1599.       0.4079  0.1322E-01
   24.000  0.1700E+05  0.000   68.54       1.749       3114.    2446.335    1.6329   0.7794   0.5283   0.08846  0.2084E-01  0.3489E-02  21.9308   0.4118   3995.       1645.       0.3840  0.1308E-01
   26.000  0.1700E+05  0.000   64.28       1.690       3008.    2446.328    1.5897   0.7735   0.5557   0.09583  0.1954E-01  0.3370E-02  19.9827   0.4298   3889.       1671.       0.3596  0.1297E-01
   28.000  0.1700E+05  0.000   59.93       1.625       2893.    2446.319    1.5426   0.7665   0.5800   0.10320  0.1822E-01  0.3241E-02  18.0963   0.4446   3774.       1678.       0.3347  0.1289E-01
   30.000  0.1700E+05  0.000   55.46       1.555       2768.    2446.310    1.4915   0.7585   0.6012   0.11058  0.1686E-01  0.3101E-02  16.2710   0.4560   3649.       1664.       0.3093  0.1283E-01
   32.000  0.1700E+05  0.000   50.90       1.478       2632.    2446.300    1.4360   0.7492   0.6188   0.11795  0.1547E-01  0.2949E-02  14.5062   0.4636   3513.       1629.       0.2835  0.1280E-01
   34.000  0.1700E+05  0.000   46.23       1.396       2485.    2446.290    1.3760   0.7383   0.6324   0.12532  0.1405E-01  0.2785E-02  12.8009   0.4669   3366.       1572.       0.2572  0.1280E-01
   36.000  0.1700E+05  0.000   41.45       1.307       2327.    2446.278    1.3113   0.7254   0.6413   0.13269  0.1260E-01  0.2607E-02  11.1539   0.4652   3208.       1492.       0.2305  0.1283E-01
   38.000  0.1700E+05  0.000   36.57       1.211       2157.    2446.265    1.2417   0.7100   0.6444   0.14006  0.1112E-01  0.2416E-02   9.5641   0.4576   3037.       1390.       0.2034  0.1287E-01
   40.000  0.1700E+05  0.000   31.59       1.109       1973.    2446.252    1.1668   0.6914   0.6403   0.14743  0.9603E-02  0.2211E-02   8.0301   0.4427   2854.       1264.       0.1759  0.1295E-01
   42.000  0.1700E+05  0.000   26.51      0.9982       1777.    2446.238    1.0865   0.6686   0.6265   0.15481  0.8058E-02  0.1991E-02   6.5503   0.4189   2658.       1113.       0.1480  0.1304E-01
   44.000  0.1700E+05  0.000   21.32      0.8803       1567.    2446.222    1.0007   0.6402   0.5986   0.16218  0.6481E-02  0.1756E-02   5.1230   0.3832   2448.       938.1       0.1197  0.1316E-01

    2.000  0.1750E+05  0.000   115.1       2.308       4229.    2518.351    2.0396   0.8234   0.0544   0.00716  0.3300E-01  0.4344E-02  48.7775   0.0448   5136.       230.1       0.6195  0.1931E-01
    4.000  0.1750E+05  0.000   111.9       2.290       4197.    2518.348    2.0269   0.8223   0.1067   0.01432  0.3210E-01  0.4311E-02  46.2013   0.0877   5104.       447.7       0.6019  0.1884E-01
    6.000  0.1750E+05  0.000   108.7       2.271       4161.    2518.346    2.0125   0.8210   0.1567   0.02148  0.3118E-01  0.4274E-02  43.6797   0.1287   5068.       652.2       0.5837  0.1838E-01
    8.000  0.1750E+05  0.000   105.4       2.248       4120.    2518.343    1.9964   0.8196   0.2046   0.02864  0.3023E-01  0.4232E-02  41.2143   0.1677   5028.       843.1       0.5652  0.1793E-01
   10.000  0.1750E+05  0.000   102.0       2.224       4075.    2518.340    1.9783   0.8179   0.2503   0.03581  0.2926E-01  0.4185E-02  38.8062   0.2047   4982.       1020.       0.5462  0.1750E-01
   12.000  0.1750E+05  0.000   98.56       2.189       4012.    2518.335    1.9532   0.8156   0.2948   0.04297  0.2827E-01  0.4120E-02  36.4708   0.2405   4919.       1183.       0.5269  0.1642E-01
   14.000  0.1750E+05  0.000   94.91       2.157       3953.    2518.331    1.9299   0.8133   0.3361   0.05013  0.2723E-01  0.4060E-02  34.1632   0.2734   4860.       1329.       0.5066  0.1609E-01
   16.000  0.1750E+05  0.000   91.21       2.117       3880.    2518.326    1.9009   0.8105   0.3761   0.05729  0.2616E-01  0.3985E-02  31.9247   0.3048   4787.       1459.       0.4860  0.1530E-01
   18.000  0.1750E+05  0.000   87.34       2.071       3796.    2518.320    1.8675   0.8071   0.4142   0.06445  0.2506E-01  0.3899E-02  29.7320   0.3343   4703.       1572.       0.4645  0.1450E-01
   20.000  0.1750E+05  0.000   83.27       2.026       3712.    2518.314    1.8343   0.8036   0.4486   0.07161  0.2389E-01  0.3813E-02  27.5722   0.3605   4619.       1665.       0.4421  0.1433E-01
   22.000  0.1750E+05  0.000   79.09       1.976       3621.    2518.307    1.7979   0.7997   0.4806   0.07877  0.2269E-01  0.3719E-02  25.4721   0.3843   4528.       1740.       0.4192  0.1419E-01
   24.000  0.1750E+05  0.000   74.80       1.921       3520.    2518.300    1.7581   0.7951   0.5100   0.08593  0.2146E-01  0.3616E-02  23.4320   0.4055   4427.       1795.       0.3959  0.1407E-01
   26.000  0.1750E+05  0.000   70.42       1.861       3411.    2518.293    1.7147   0.7899   0.5368   0.09309  0.2020E-01  0.3504E-02  21.4517   0.4240   4318.       1831.       0.3721  0.1398E-01
   28.000  0.1750E+05  0.000   65.93       1.796       3292.    2518.284    1.6675   0.7840   0.5607   0.10026  0.1891E-01  0.3382E-02  19.5311   0.4396   4199.       1846.       0.3478  0.1392E-01
   30.000  0.1750E+05  0.000   61.34       1.726       3163.    2518.275    1.6163   0.7772   0.5817   0.10742  0.1759E-01  0.3249E-02  17.6699   0.4521   4070.       1840.       0.3231  0.1388E-01
   32.000  0.1750E+05  0.000   56.64       1.650       3024.    2518.265    1.5609   0.7693   0.5993   0.11458  0.1625E-01  0.3106E-02  15.8674   0.4611   3931.       1812.       0.2980  0.1386E-01
   34.000  0.1750E+05  0.000   51.83       1.568       2873.    2518.254    1.5011   0.7601   0.6133   0.12174  0.1487E-01  0.2951E-02  14.1228   0.4662   3780.       1762.       0.2725  0.1387E-01
   36.000  0.1750E+05  0.000   46.93       1.479       2711.    2518.243    1.4368   0.7494   0.6231   0.12890  0.1346E-01  0.2785E-02  12.4353   0.4669   3618.       1689.       0.2465  0.1391E-01
   38.000  0.1750E+05  0.000   41.91       1.384       2537.    2518.230    1.3675   0.7367   0.6278   0.13606  0.1202E-01  0.2606E-02  10.8037   0.4625   3444.       1593.       0.2201  0.1398E-01
   40.000  0.1750E+05  0.000   36.79       1.282       2350.    2518.217    1.2932   0.7215   0.6264   0.14322  0.1055E-01  0.2413E-02   9.2269   0.4519   3256.       1472.       0.1934  0.1406E-01
   42.000  0.1750E+05  0.000   31.57       1.173       2149.    2518.203    1.2136   0.7033   0.6170   0.15038  0.9057E-02  0.2208E-02   7.7034   0.4339   3056.       1326.       0.1662  0.1418E-01
   44.000  0.1750E+05  0.000   26.24       1.056       1935.    2518.188    1.1285   0.6809   0.5968   0.15754  0.7529E-02  0.1988E-02   6.2318   0.4064   2842.       1155.       0.1387  0.1431E-01

    2.000  0.1800E+05  0.000   123.0       2.519       4749.    2590.321    2.1935   0.8357   0.0518   0.00696  0.3335E-01  0.4482E-02  50.5023   0.0433   5682.       246.0       0.6265  0.2078E-01
    4.000  0.1800E+05  0.000   119.8       2.501       4714.    2590.318    2.1803   0.8348   0.1016   0.01392  0.3247E-01  0.4450E-02  47.9180   0.0848   5648.       479.0       0.6091  0.2034E-01
    6.000  0.1800E+05  0.000   116.4       2.481       4676.    2590.316    2.1655   0.8336   0.1494   0.02089  0.3156E-01  0.4414E-02  45.3863   0.1245   5609.       698.4       0.5913  0.1990E-01
    8.000  0.1800E+05  0.000   113.0       2.458       4633.    2590.313    2.1489   0.8323   0.1951   0.02785  0.3063E-01  0.4373E-02  42.9084   0.1624   5566.       903.7       0.5731  0.1949E-01
   10.000  0.1800E+05  0.000   109.4       2.432       4585.    2590.309    2.1304   0.8309   0.2387   0.03481  0.2967E-01  0.4328E-02  40.4858   0.1983   5518.       1094.       0.5545  0.1909E-01
   12.000  0.1800E+05  0.000   105.8       2.404       4532.    2590.306    2.1098   0.8292   0.2802   0.04177  0.2869E-01  0.4278E-02  38.1193   0.2324   5465.       1270.       0.5354  0.1872E-01
   14.000  0.1800E+05  0.000   102.1       2.365       4458.    2590.301    2.0811   0.8269   0.3208   0.04874  0.2769E-01  0.4207E-02  35.8117   0.2652   5391.       1430.       0.5158  0.1774E-01
   16.000  0.1800E+05  0.000   98.25       2.329       4390.    2590.296    2.0550   0.8247   0.3581   0.05570  0.2664E-01  0.4144E-02  33.5424   0.2953   5323.       1572.       0.4955  0.1746E-01
   18.000  0.1800E+05  0.000   94.34       2.279       4295.    2590.289    2.0183   0.8215   0.3954   0.06266  0.2558E-01  0.4054E-02  31.3457   0.3248   5228.       1698.       0.4747  0.1619E-01
   20.000  0.1800E+05  0.000   90.13       2.233       4208.    2590.283    1.9848   0.8185   0.4284   0.06962  0.2444E-01  0.3972E-02  29.1606   0.3506   5141.       1803.       0.4528  0.1605E-01
   22.000  0.1800E+05  0.000   85.82       2.182       4113.    2590.277    1.9482   0.8151   0.4590   0.07658  0.2327E-01  0.3882E-02  27.0331   0.3741   5046.       1888.       0.4305  0.1593E-01
   24.000  0.1800E+05  0.000   81.40       2.127       4010.    2590.270    1.9083   0.8112   0.4872   0.08355  0.2207E-01  0.3785E-02  24.9634   0.3952   4943.       1954.       0.4077  0.1584E-01
   26.000  0.1800E+05  0.000   76.88       2.068       3897.    2590.262    1.8648   0.8068   0.5129   0.09051  0.2085E-01  0.3679E-02  22.9515   0.4138   4830.       1999.       0.3845  0.1577E-01
   28.000  0.1800E+05  0.000   72.25       2.003       3775.    2590.253    1.8177   0.8018   0.5359   0.09747  0.1959E-01  0.3563E-02  20.9974   0.4297   4708.       2023.       0.3608  0.1573E-01
   30.000  0.1800E+05  0.000   67.52       1.933       3643.    2590.244    1.7666   0.7961   0.5560   0.10443  0.1831E-01  0.3439E-02  19.1007   0.4427   4576.       2026.       0.3368  0.1572E-01
   32.000  0.1800E+05  0.000   62.69       1.857       3500.    2590.234    1.7115   0.7896   0.5731   0.11139  0.1700E-01  0.3304E-02  17.2611   0.4525   4433.       2006.       0.3123  0.1573E-01
   34.000  0.1800E+05  0.000   57.74       1.775       3346.    2590.224    1.6520   0.7820   0.5867   0.11836  0.1566E-01  0.3158E-02  15.4779   0.4588   4279.       1963.       0.2874  0.1577E-01
   36.000  0.1800E+05  0.000   52.70       1.687       3181.    2590.212    1.5881   0.7732   0.5964   0.12532  0.1429E-01  0.3002E-02  13.7503   0.4612   4113.       1897.       0.2620  0.1583E-01
   38.000  0.1800E+05  0.000   47.54       1.593       3003.    2590.200    1.5194   0.7630   0.6016   0.13228  0.1289E-01  0.2834E-02  12.0773   0.4590   3936.       1807.       0.2363  0.1592E-01
   40.000  0.1800E+05  0.000   42.28       1.492       2812.    2590.187    1.4458   0.7509   0.6014   0.13924  0.1146E-01  0.2654E-02  10.4580   0.4516   3745.       1691.       0.2102  0.1604E-01
   42.000  0.1800E+05  0.000   36.91       1.384       2608.    2590.173    1.3670   0.7366   0.5944   0.14621  0.1001E-01  0.2462E-02   8.8912   0.4378   3541.       1550.       0.1838  0.1617E-01
   44.000  0.1800E+05  0.000   31.44       1.268       2390.    2590.158    1.2829   0.7193   0.5787   0.15317  0.8524E-02  0.2256E-02   7.3756   0.4163   3323.       1383.       0.1570  0.1633E-01

    2.000  0.1850E+05  0.000   131.4       2.775       5376.    2662.297    2.3798   0.8486   0.0489   0.00677  0.3373E-01  0.4674E-02  52.2592   0.0415   6336.       262.8       0.6341  0.2318E-01
    4.000  0.1850E+05  0.000   128.0       2.757       5340.    2662.294    2.3663   0.8477   0.0959   0.01355  0.3286E-01  0.4643E-02  49.6662   0.0813   6300.       512.0       0.6169  0.2278E-01
    6.000  0.1850E+05  0.000   124.5       2.736       5300.    2662.291    2.3511   0.8467   0.1410   0.02032  0.3196E-01  0.4608E-02  47.1239   0.1194   6259.       747.1       0.5994  0.2239E-01
    8.000  0.1850E+05  0.000   120.9       2.713       5255.    2662.288    2.3342   0.8456   0.1841   0.02710  0.3105E-01  0.4569E-02  44.6335   0.1557   6214.       967.6       0.5815  0.2201E-01
   10.000  0.1850E+05  0.000   117.3       2.687       5205.    2662.285    2.3154   0.8444   0.2253   0.03387  0.3011E-01  0.4525E-02  42.1960   0.1903   6164.       1173.       0.5631  0.2165E-01
   12.000  0.1850E+05  0.000   113.5       2.658       5150.    2662.281    2.2946   0.8430   0.2646   0.04064  0.2914E-01  0.4477E-02  39.8126   0.2230   6109.       1362.       0.5444  0.2132E-01
   14.000  0.1850E+05  0.000   109.7       2.618       5073.    2662.276    2.2657   0.8410   0.3028   0.04742  0.2817E-01  0.4410E-02  37.4905   0.2547   6032.       1536.       0.5253  0.2037E-01
   16.000  0.1850E+05  0.000   105.7       2.582       5003.    2662.271    2.2394   0.8391   0.3381   0.05419  0.2714E-01  0.4349E-02  35.2001   0.2837   5962.       1691.       0.5053  0.2013E-01
   18.000  0.1850E+05  0.000   101.6       2.537       4916.    2662.266    2.2066   0.8367   0.3721   0.06097  0.2608E-01  0.4274E-02  32.9690   0.3114   5875.       1829.       0.4849  0.1945E-01
   20.000  0.1850E+05  0.000   97.36       2.486       4816.    2662.259    2.1692   0.8339   0.4044   0.06774  0.2499E-01  0.4187E-02  30.7798   0.3372   5775.       1947.       0.4638  0.1877E-01
   22.000  0.1850E+05  0.000   92.91       2.435       4718.    2662.252    2.1325   0.8311   0.4332   0.07451  0.2385E-01  0.4102E-02  28.6250   0.3600   5677.       2044.       0.4419  0.1869E-01
   24.000  0.1850E+05  0.000   88.35       2.381       4612.    2662.245    2.0926   0.8279   0.4597   0.08129  0.2268E-01  0.4010E-02  26.5260   0.3806   5571.       2120.       0.4196  0.1863E-01
   26.000  0.1850E+05  0.000   83.69       2.321       4497.    2662.237    2.0493   0.8242   0.4839   0.08806  0.2148E-01  0.3909E-02  24.4828   0.3988   5456.       2176.       0.3969  0.1860E-01
   28.000  0.1850E+05  0.000   78.92       2.257       4372.    2662.229    2.0024   0.8201   0.5054   0.09484  0.2026E-01  0.3801E-02  22.4954   0.4145   5331.       2210.       0.3738  0.1860E-01
   30.000  0.1850E+05  0.000   74.04       2.187       4237.    2662.220    1.9517   0.8154   0.5243   0.10161  0.1901E-01  0.3684E-02  20.5637   0.4275   5196.       2221.       0.3502  0.1862E-01
   32.000  0.1850E+05  0.000   69.06       2.112       4091.    2662.210    1.8970   0.8101   0.5401   0.10838  0.1773E-01  0.3557E-02  18.6873   0.4376   5050.       2210.       0.3263  0.1866E-01
   34.000  0.1850E+05  0.000   63.97       2.031       3934.    2662.200    1.8380   0.8040   0.5528   0.11516  0.1642E-01  0.3421E-02  16.8658   0.4445   4893.       2175.       0.3020  0.1874E-01
   36.000  0.1850E+05  0.000   58.77       1.944       3766.    2662.188    1.7747   0.7971   0.5618   0.12193  0.1509E-01  0.3274E-02  15.0984   0.4478   4725.       2116.       0.2773  0.1884E-01
   38.000  0.1850E+05  0.000   53.47       1.851       3585.    2662.176    1.7068   0.7890   0.5667   0.12871  0.1372E-01  0.3117E-02  13.3843   0.4471   4544.       2032.       0.2522  0.1896E-01
   40.000  0.1850E+05  0.000   48.05       1.751       3392.    2662.163    1.6341   0.7796   0.5668   0.13548  0.1233E-01  0.2949E-02  11.7228   0.4419   4350.       1922.       0.2267  0.1912E-01
   42.000  0.1850E+05  0.000   42.53       1.644       3185.    2662.149    1.5564   0.7686   0.5610   0.14225  0.1092E-01  0.2769E-02  10.1127   0.4312   4143.       1786.       0.2009  0.1929E-01
   44.000  0.1850E+05  0.000   36.91       1.530       2964.    2662.134    1.4735   0.7556   0.5479   0.14903  0.9474E-02  0.2577E-02   8.5530   0.4140   3923.       1624.       0.1747  0.1949E-01

    2.000  0.1900E+05  0.000   140.2       3.090       6148.    2734.280    2.6090   0.8619   0.0456   0.00660  0.3413E-01  0.4934E-02  54.0516   0.0393   7134.       280.5       0.6424  0.2679E-01
    4.000  0.1900E+05  0.000   136.7       3.071       6111.    2734.278    2.5954   0.8611   0.0895   0.01319  0.3327E-01  0.4904E-02  51.4495   0.0771   7096.       546.8       0.6254  0.2643E-01
    6.000  0.1900E+05  0.000   133.1       3.050       6069.    2734.275    2.5801   0.8603   0.1316   0.01979  0.3238E-01  0.4871E-02  48.8960   0.1132   7055.       798.4       0.6081  0.2608E-01
    8.000  0.1900E+05  0.000   129.4       3.027       6023.    2734.272    2.5630   0.8594   0.1718   0.02638  0.3148E-01  0.4834E-02  46.3924   0.1477   7008.       1035.       0.5904  0.2575E-01
   10.000  0.1900E+05  0.000   125.6       3.001       5971.    2734.268    2.5441   0.8584   0.2103   0.03298  0.3056E-01  0.4792E-02  43.9398   0.1805   6956.       1256.       0.5724  0.2544E-01
   12.000  0.1900E+05  0.000   121.7       2.972       5914.    2734.265    2.5233   0.8572   0.2469   0.03957  0.2961E-01  0.4746E-02  41.5392   0.2116   6899.       1460.       0.5539  0.2516E-01
   14.000  0.1900E+05  0.000   117.7       2.933       5835.    2734.259    2.4944   0.8555   0.2825   0.04617  0.2865E-01  0.4683E-02  39.2025   0.2417   6820.       1648.       0.5352  0.2425E-01
   16.000  0.1900E+05  0.000   113.6       2.896       5763.    2734.255    2.4681   0.8540   0.3153   0.05277  0.2764E-01  0.4625E-02  36.8907   0.2693   6748.       1817.       0.5156  0.2405E-01
   18.000  0.1900E+05  0.000   109.4       2.852       5674.    2734.249    2.4355   0.8521   0.3469   0.05936  0.2661E-01  0.4554E-02  34.6405   0.2956   6659.       1969.       0.4956  0.2342E-01
   20.000  0.1900E+05  0.000   105.0       2.801       5572.    2734.242    2.3983   0.8498   0.3768   0.06596  0.2555E-01  0.4472E-02  32.4316   0.3202   6558.       2100.       0.4750  0.2276E-01
   22.000  0.1900E+05  0.000   100.4       2.751       5473.    2734.236    2.3619   0.8474   0.4035   0.07255  0.2443E-01  0.4392E-02  30.2496   0.3420   6458.       2208.       0.4535  0.2273E-01
   24.000  0.1900E+05  0.000   95.67       2.696       5364.    2734.229    2.3223   0.8449   0.4280   0.07915  0.2328E-01  0.4305E-02  28.1214   0.3616   6350.       2296.       0.4317  0.2272E-01
   26.000  0.1900E+05  0.000   90.85       2.637       5247.    2734.221    2.2793   0.8419   0.4502   0.08574  0.2211E-01  0.4211E-02  26.0469   0.3790   6232.       2362.       0.4094  0.2274E-01
   28.000  0.1900E+05  0.000   85.93       2.573       5120.    2734.213    2.2329   0.8386   0.4699   0.09234  0.2091E-01  0.4109E-02  24.0264   0.3941   6105.       2406.       0.3868  0.2278E-01
   30.000  0.1900E+05  0.000   80.90       2.504       4983.    2734.204    2.1827   0.8349   0.4871   0.09894  0.1969E-01  0.3999E-02  22.0598   0.4067   5968.       2427.       0.3637  0.2285E-01
   32.000  0.1900E+05  0.000   75.76       2.430       4835.    2734.194    2.1287   0.8308   0.5014   0.10553  0.1844E-01  0.3880E-02  20.1467   0.4166   5820.       2424.       0.3403  0.2294E-01
   34.000  0.1900E+05  0.000   70.52       2.350       4676.    2734.184    2.0705   0.8260   0.5127   0.11213  0.1716E-01  0.3753E-02  18.2869   0.4235   5661.       2398.       0.3165  0.2306E-01
   36.000  0.1900E+05  0.000   65.17       2.265       4506.    2734.172    2.0081   0.8206   0.5207   0.11872  0.1586E-01  0.3616E-02  16.4797   0.4273   5491.       2346.       0.2923  0.2321E-01
   38.000  0.1900E+05  0.000   59.70       2.173       4323.    2734.160    1.9413   0.8144   0.5248   0.12532  0.1453E-01  0.3469E-02  14.7246   0.4274   5308.       2269.       0.2678  0.2339E-01
   40.000  0.1900E+05  0.000   54.13       2.074       4127.    2734.148    1.8697   0.8074   0.5246   0.13191  0.1317E-01  0.3312E-02  13.0208   0.4235   5112.       2165.       0.2428  0.2359E-01
   42.000  0.1900E+05  0.000   48.45       1.969       3919.    2734.134    1.7934   0.7992   0.5193   0.13851  0.1179E-01  0.3145E-02  11.3674   0.4150   4903.       2035.       0.2176  0.2381E-01
