 
# QPROP Version 1.22
# 
# T28 Trojan Prop                                                                 
# 
# CobraCM2217-26 Brushless DC Motor                                               
#   0.17900      Rmotor (Ohms)                  
#   0.36000      Io     (Amps)                  
#    6.9500      Kv     (rpm/Volt)              
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
   26.000   1500.      0.000  -5.383      0.4736E-01   7.439     215.898    0.3945   0.0873 -18.8149   1.08610 -0.2102      0.1213E-01  -2.4299  -1.6434   85.16      -140.0      -0.5844  0.9659    
   28.000   1500.      0.000  -6.236      0.6112E-01   9.601     215.900    0.4045   0.1099 -18.1869   1.16964 -0.2435      0.1566E-01  -2.6138  -1.9995   87.33      -174.6      -0.5652   1.032    
   30.000   1500.      0.000  -7.171      0.7480E-01   11.75     215.902    0.4144   0.1313 -18.3088   1.25319 -0.2800      0.1916E-01  -2.8053  -2.4042   89.48      -215.1      -0.5475   1.092    
   32.000   1500.      0.000  -8.186      0.8825E-01   13.86     215.903    0.4242   0.1514 -18.8952   1.33673 -0.3196      0.2261E-01  -3.0027  -2.8598   91.59      -261.9      -0.5310   1.146    
   34.000   1500.      0.000  -9.281      0.1014       15.92     215.905    0.4338   0.1700 -19.8144   1.42028 -0.3624      0.2597E-01  -3.2048  -3.3691   93.66      -315.5      -0.5157   1.195    
   36.000   1500.      0.000  -10.46      0.1141       17.92     215.907    0.4430   0.1874 -20.9998   1.50383 -0.4082      0.2923E-01  -3.4107  -3.9348   95.66      -376.4      -0.5015   1.239    
   38.000   1500.      0.000  -11.71      0.1264       19.85     215.908    0.4520   0.2034 -22.4165   1.58737 -0.4572      0.3237E-01  -3.6197  -4.5596   97.58      -444.9      -0.4883   1.278    
   40.000   1500.      0.000  -13.04      0.1381       21.69     215.910    0.4605   0.2182 -24.0465   1.67092 -0.5092      0.3538E-01  -3.8311  -5.2465   99.43      -521.7      -0.4760   1.314    
   42.000   1500.      0.000  -14.45      0.1493       23.45     215.911    0.4687   0.2318 -25.8821   1.75446 -0.5643      0.3825E-01  -4.0445  -5.9986   101.2      -607.0      -0.4646   1.346    
   44.000   1500.      0.000  -15.94      0.1599       25.12     215.913    0.4764   0.2442 -27.9222   1.83801 -0.6224      0.4097E-01  -4.2596  -6.8192   102.9      -701.4      -0.4540   1.376    

    2.000   2000.      0.000   1.007      0.2942E-01   6.163     287.838    0.3814   0.0561   0.3269   0.06266  0.2212E-01  0.4241E-02   3.1515   0.0183   109.8       2.015       0.4139  0.3677E-01
    4.000   2000.      0.000  0.5581      0.2351E-01   4.923     287.837    0.3771   0.0454   0.4535   0.12532  0.1226E-01  0.3388E-02   1.3374   0.0206   108.5       2.232       0.2295  0.3436E-01
    6.000   2000.      0.000  0.1673E-01  0.1207E-01   2.528     287.836    0.3688   0.0238   0.0397   0.18798  0.3674E-03  0.1739E-02   0.0311   0.0009   106.1      0.1004       0.0176  0.3607E-01
    8.000   2000.      0.000 -0.6078     -0.6968E-02  -1.459     287.833    0.3549  -0.0143   3.3317   0.25064 -0.1335E-01 -0.1004E-02  -0.9007  -0.0476   102.2      -4.862      -0.2117  0.4169E-01
   10.000   2000.      0.000  -1.306     -0.3518E-01  -7.369     287.830    0.3344  -0.0766   1.7720   0.31330 -0.2868E-01 -0.5071E-02  -1.5868  -0.1357   96.25      -13.06      -0.4482  0.5083E-01
   12.000   2000.      0.000  -2.051     -0.6223E-01  -13.03     287.826    0.3147  -0.1439   1.8881   0.37596 -0.4504E-01 -0.8968E-02  -2.0947  -0.2717   90.58      -24.61      -0.6547  0.9825E-01
   14.000   2000.      0.000  -2.556     -0.6008E-01  -12.58     287.826    0.3163  -0.1382   2.8443   0.43862 -0.5615E-01 -0.8658E-02  -2.2188  -0.3932   91.03      -35.79      -0.7222  0.2003    
